documentID,products
9150,"['HP Indigo WS6600 Digital Press, HP Indigo WS6600p Digital Press, HP Indigo WS6800p Digital Press, HP Indigo 6900 Digital Press, HP Indigo WS6800 Digital Press, HP Indigo 6K Digital Press, HP Indigo WS6000p Digital Press, HP Indigo WS6000 Digital Press, HP Indigo 6r Digital Press, HP Indigo 6P Digital Press']"
9151,"['HP Indigo WS6600 Digital Press, HP Indigo WS6600p Digital Press, HP Indigo WS6800p Digital Press, HP Indigo 6900 Digital Press, HP Indigo WS6800 Digital Press, HP Indigo 6K Digital Press, HP Indigo WS6000p Digital Press, HP Indigo WS6000 Digital Press, HP Indigo 6r Digital Press, HP Indigo 6P Digital Press']"
9152,"['HP Indigo WS6600 Digital Press, HP Indigo WS6600p Digital Press, HP Indigo WS6800p Digital Press, HP Indigo 6900 Digital Press, HP Indigo WS6800 Digital Press, HP Indigo 6K Digital Press, HP Indigo WS6000p Digital Press, HP Indigo WS6000 Digital Press, HP Indigo 6r Digital Press, HP Indigo 6P Digital Press']"
9153,"['HP Indigo WS6600 Digital Press, HP Indigo WS6600p Digital Press, HP Indigo WS6800p Digital Press, HP Indigo 6900 Digital Press, HP Indigo WS6800 Digital Press, HP Indigo 6K Digital Press, HP Indigo WS6000p Digital Press, HP Indigo WS6000 Digital Press, HP Indigo 6r Digital Press, HP Indigo 6P Digital Press']"
9154,"['HP Indigo 10000 Digital Press, HP Indigo 10000HD Digital Press, HP Indigo 10r Digital Press, HP Indigo 12000 Digital Press, HP Indigo 12000HD Digital Press, HP Indigo 15K Digital Press, HP Indigo 18K Digital Press']"
9172,
9173,"['6000 series', '7000 series']"
9179,
9194,"['HP PageWide Web Press T400S, HP PageWide Web Press T470S', 'HP PageWide Web Press T1100S']"
9232,
9240,['HP Indigo 25K Digital Press']
9244,"['HP PageWide Web Press T400S, HP PageWide Web Press T470S', 'HP PageWide Web Press T1100S']"
9259,['HP Indigo 6K Digital Press']
9265,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9266,
9272,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
9289,
9316,"['HP PageWide Web Press T400S, HP PageWide Web Press T470S', 'HP PageWide Web Press T1100S']"
9322,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD']"
9323,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9324,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9326,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9327,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9328,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9329,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9330,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
9331,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD']"
9332,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD']"
9333,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9334,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9335,"['HP PageWide Web Press T200, HP PageWide Web Press T230, HP PageWide Web Press T235, HP PageWide Web Press T240 HD, HP PageWide Web Press T260M, HP PageWide Web Press T260ML, HP PageWide Web Press T240M HD, HP PageWide Web Press T250 HD', 'HP PageWide Web Press T300, HP PageWide Web Press T300M, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360, HP PageWide Web Press T360M, HP PageWide Web Press T370 HD, HP PageWide Web Press T380 HD, HP PageWide Web Press T390 HD, HP PageWide Web Press T390M HD', 'HP PageWide Web Press T400, HP PageWide Web Press T400M, HP PageWide Web Press T410, HP PageWide Web Press T410M, HP PageWide Web Press T470 HD, HP PageWide Web Press T480 HD, HP PageWide Web Press T490 HD, HP PageWide Web Press T490M HD, HP PageWide Web Press T485']"
9336,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
9337,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
9338,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
